,token,frequency
0,student,39259
1,sexual,30497
2,assault,19341
3,thing,17304
4,people,17093
5,would,16724
6,campus,16584
7,cause,13506
8,women,12479
9,ember,12159
10,inter,11326
11,event,11198
12,state,11156
13,rough,11049
14,member,10039
15,issue,9975
16,unity,9808
17,victim,9530
18,nation,9272
19,think,9217
20,could,9100
21,resident,9085
22,first,9063
23,count,8945
24,hough,8752
25,round,8731
26,right,8687
27,ratio,8657
28,every,8652
29,stand,8053
30,enter,7708
31,person,7547
32,change,7467
33,though,7388
34,school,7270
35,group,7210
36,place,7197
37,support,7096
38,public,6977
39,conduct,6942
40,police,6764
41,office,6741
42,invest,6654
43,press,6256
44,direct,6178
45,story,6005
46,crime,6004
47,point,5940
48,quest,5933
49,still,5741
50,experience,5707
51,accord,5642
52,major,5568
53,ether,5396
54,friend,5367
55,organ,5323
56,found,5317
57,differ,5301
58,commit,5291
59,class,5260
60,college,5223
61,three,5145
62,belie,5095
63,woman,5062
64,import,5033
65,ought,5025
66,night,4988
67,start,4957
68,policy,4900
69,health,4873
70,percent,4803
71,around,4793
72,incident,4783
73,happen,4710
74,something,4689
75,search,4657
76,force,4656
77,posit,4655
78,trans,4636
79,table,4632
80,rector,4594
81,inform,4566
82,problem,4536
83,process,4427
84,dress,4404
85,discus,4398
86,discuss,4397
87,graduate,4366
88,never,4365
89,lease,4357
90,light,4304
91,plain,4300
92,preside,4274
93,allow,4270
94,important,4244
95,provide,4226
96,question,4175
97,world,4166
98,harass,4115
99,elect,4088
100,format,4082
101,abuse,4069
102,president,4059
103,media,4058
104,believe,4051
105,different,4035
106,gender,4027
107,child,4000
108,concern,3995
109,serve,3984
110,system,3972
111,include,3933
112,power,3920
113,continue,3919
114,culture,3918
115,prove,3898
116,politic,3867
117,sting,3840
118,train,3825
119,staff,3813
120,month,3795
121,profess,3756
122,govern,3755
123,mental,3750
124,since,3728
125,source,3722
126,another,3717
127,receive,3709
128,crease,3685
129,cross,3666
130,charge,3588
131,often,3558
132,special,3551
133,current,3527
134,director,3523
135,reach,3490
136,great,3481
137,might,3469
139,cover,3462
138,follow,3462
140,ester,3444
141,create,3432
142,survivor,3428
143,address,3407
144,information,3392
145,without,3356
146,decision,3342
147,house,3340
148,official,3301
149,social,3256
150,involve,3243
151,order,3232
152,someone,3188
153,protect,3169
154,depart,3165
155,second,3155
156,individual,3147
157,increase,3146
158,human,3146
159,aware,3141
160,sever,3138
161,require,3123
162,consider,3110
163,large,3108
164,focus,3093
165,legal,3088
166,effect,3078
167,ready,3072
168,course,3057
169,reason,3047
170,season,3046
171,service,3043
172,become,3015
173,learn,3015
174,always,3014
175,speak,3008
176,comment,3003
177,faculty,2985
178,position,2965
179,stance,2956
180,little,2895
181,clear,2871
182,enough,2870
183,respond,2848
184,close,2831
185,claim,2777
186,offer,2748
187,thought,2732
188,effort,2732
189,selves,2731
190,female,2731
191,result,2727
192,across,2721
193,persona,2719
194,alcohol,2718
195,country,2701
196,occur,2696
197,actual,2678
198,wrote,2671
199,interest,2652
200,versa,2637
201,allege,2632
202,stead,2630
203,drink,2629
204,employ,2619
205,committee,2610
206,whether,2604
207,personal,2597
208,treat,2592
209,professor,2588
210,response,2586
211,bring,2567
212,certain,2558
213,safety,2555
214,character,2533
215,perform,2531
216,attend,2525
217,build,2518
218,fully,2510
219,spoke,2509
220,agree,2493
221,final,2489
222,regard,2485
223,expect,2483
224,within,2473
225,young,2467
226,complain,2457
227,toward,2452
228,family,2442
229,tempt,2439
230,already,2436
231,forward,2433
232,campaign,2429
233,fresh,2417
234,music,2408
235,several,2405
236,develop,2403
237,anger,2402
238,court,2381
239,senior,2362
240,break,2361
241,white,2357
242,later,2326
243,strict,2302
244,begin,2299
246,parent,2293
245,level,2293
247,party,2284
248,spite,2283
249,coach,2275
250,black,2273
251,exist,2272
252,attempt,2261
253,complete,2259
254,together,2257
255,criminal,2253
256,critic,2247
257,account,2246
258,watch,2241
259,addition,2237
260,refer,2203
261,board,2198
262,money,2181
263,accuse,2178
264,matte,2173
265,ounce,2171
266,mission,2160
267,share,2155
268,study,2154
269,intern,2150
270,among,2147
271,justice,2144
272,everyone,2132
273,movie,2130
274,least,2126
275,raise,2121
276,death,2120
277,history,2113
278,express,2095
279,vision,2089
280,serious,2088
281,courage,2083
282,taken,2079
283,ample,2077
284,front,2076
285,conversation,2074
286,possible,2072
287,motion,2065
288,future,2058
289,respect,2046
290,children,2042
291,voice,2036
292,passe,2036
293,fight,2036
294,article,2034
295,grant,2033
296,academic,2033
297,specific,2030
298,appear,2023
299,range,2022
300,rally,2021
301,began,2013
302,viola,2012
303,decide,2012
304,fraternity,2009
305,potent,2007
306,success,1996
307,solution,1996
308,protest,1983
309,leave,1981
310,tract,1980
311,assist,1979
312,general,1976
313,similar,1973
314,football,1973
315,ledge,1972
316,access,1966
317,attack,1966
318,survey,1965
319,teach,1964
320,consent,1961
321,potential,1951
322,ground,1950
323,product,1945
324,accept,1941
325,million,1936
326,strong,1928
327,anything,1918
328,institution,1917
329,write,1915
330,complaint,1908
331,candid,1899
332,federal,1898
333,arrest,1892
